iter	Passed	Remaining
0	512	511917
1	942	470173
2	1369	455127
3	1894	471783
4	2567	510866
5	3270	541892
6	3874	549675
7	4458	552855
8	5093	560847
9	5569	551375
10	6000	539476
11	6482	533722
12	6956	528151
13	7413	522101
14	7862	516287
15	8328	512173
16	8834	510843
17	9300	507413
18	9781	505010
19	10334	506373
20	10944	510218
21	11570	514347
22	12199	518200
23	12814	521131
24	13475	525550
25	14123	529086
26	14752	531647
27	15316	531706
28	15942	533809
29	16565	535622
30	17113	534927
31	17708	535685
32	18330	537130
33	18967	538887
34	19585	540011
35	20119	538756
36	20686	538406
37	21304	539338
38	21899	539622
39	22461	539066
40	23157	541655
41	23789	542630
42	24423	543567
43	25002	543237
44	25638	544110
45	26229	543969
46	26814	543702
47	27454	544507
48	28011	543642
49	28703	545361
50	29264	544544
51	29835	543928
52	30363	542528
53	30952	542248
54	31591	542795
55	32228	543287
56	32894	544200
57	33540	544748
58	34135	544437
59	34805	545284
60	35501	546492
61	36182	547404
62	36865	548297
63	37518	548705
64	38150	548781
65	38851	549810
66	39434	549141
67	40014	548439
68	40591	547685
69	41099	546038
70	41705	545697
71	42313	545378
72	42862	544294
73	43422	543373
74	44045	543227
75	44666	543048
76	45231	542194
77	45785	541211
78	46404	540999
79	47029	540842
80	47631	540411
81	48274	540436
82	48904	540305
83	49420	538920
84	50023	538491
85	50682	538651
86	51342	538798
87	51965	538552
88	52560	538010
89	53182	537731
90	53798	537396
91	54365	536559
92	54995	536357
93	55617	536059
94	56241	535770
95	56887	535690
96	57513	535408
97	58074	534519
98	58760	534780
99	59351	534160
100	59957	533685
101	60574	533290
102	61199	532969
103	61751	532014
104	62421	532067
105	63090	532106
106	63725	531837
107	64398	531880
108	65000	531335
109	65557	530418
110	66172	529978
111	66750	529238
112	67358	528734
113	67976	528307
114	68665	528424
115	69300	528114
116	69977	528124
117	70606	527756
118	71206	527164
119	71884	527153
120	72552	527052
121	73122	526245
122	73787	526107
123	74415	525708
124	75063	525446
125	75718	525219
126	76346	524808
127	76989	524492
128	77596	523928
129	78257	523725
130	78977	523906
131	79498	522764
132	79995	521476
133	80544	520536
134	81188	520206
135	81850	519992
136	82474	519529
137	83125	519232
138	83746	518745
139	84398	518446
140	85034	518046
141	85684	517728
142	86356	517535
143	86987	517092
144	87579	516416
145	88252	516215
146	88824	515422
147	89446	514920
148	90014	514110
149	90619	513511
150	91277	513208
151	91919	512815
152	92494	512046
153	93109	511497
154	93619	510379
155	94140	509324
156	94701	508491
157	95273	507721
158	95828	506866
159	96416	506187
160	97018	505579
161	97664	505203
162	98352	505035
163	98964	504475
164	99609	504085
165	100228	503559
166	100870	503146
167	101500	502669
168	102135	502216
169	102745	501637
170	103395	501258
171	104004	500673
172	104653	500280
173	105355	500135
174	105978	499611
175	106610	499129
176	107276	498806
177	107866	498126
178	108534	497802
179	109210	497515
180	109864	497122
181	110539	496819
182	111181	496365
183	111759	495627
184	112335	494884
185	112927	494210
186	113531	493589
187	114115	492883
188	114706	492204
189	115334	491687
190	115942	491084
191	116488	490223
192	117091	489600
193	117751	489213
194	118364	488631
195	118958	487974
196	119579	487424
197	120166	486735
198	120804	486251
199	121467	485871
200	122042	485133
201	122636	484475
202	123249	483892
203	123841	483223
204	124456	482648
205	125094	482158
206	125708	481578
207	126273	480812
208	126928	480383
209	127497	479632
210	128023	478724
211	128700	478378
212	129154	477204
213	129694	476353
214	130417	476174
215	131018	475550
216	131615	474908
217	132208	474251
218	132823	473676
219	133465	473196
220	134006	472358
221	134623	471787
222	135256	471275
223	135845	470608
224	136451	470000
